2455260.85642 18.577 0.034 3.84 605.0
2455260.90333 18.635 0.041 3.84 924.0
2455261.79455 18.662 0.046 4.92 624.0
2455264.81743 18.624 0.048 4.79 954.0
2455264.87069 18.722 0.060 5.63 870.0
2455264.88799 18.637 0.048 4.81 841.0
2455265.79359 18.642 0.034 4.97 389.0
2455266.78171 18.691 0.041 5.10 443.0
2455267.82354 18.657 0.030 4.22 364.0
2455268.79480 18.620 0.038 5.55 398.0
2455269.78963 18.618 0.031 4.60 393.0
2455270.83404 18.675 0.030 3.61 352.0
2455271.78911 18.617 0.032 4.36 416.0
2455272.79595 18.576 0.038 5.86 377.0
2455273.85054 18.669 0.033 4.81 338.0
2455274.79929 18.681 0.036 4.75 391.0
2455275.78503 18.622 0.045 6.44 499.0
2455275.91632 18.616 0.055 4.30 1208.0
2455276.81989 18.701 0.032 4.22 355.0
2455277.78610 18.633 0.032 4.61 367.0
2455277.91527 18.702 0.051 5.34 631.0
2455278.79614 18.624 0.036 5.47 388.0
2455279.79668 18.684 0.045 5.89 390.0
2455280.84895 18.608 0.029 3.94 397.0
2455281.78388 18.635 0.031 3.94 436.0
2455282.76436 18.618 0.041 4.68 585.0
2455282.90910 18.634 0.031 3.89 422.0
2455283.76552 18.695 0.050 5.73 597.0
2455284.76755 18.594 0.045 5.27 716.0
2455285.76316 18.670 0.056 5.67 827.0
2455285.89257 18.629 0.044 5.24 642.0
2455286.75438 18.625 0.045 4.20 782.0
2455287.82406 18.793 0.046 4.76 627.0
2455288.75740 18.576 0.042 4.69 746.0
2455292.82752 18.657 0.048 4.01 1193.0
2455293.83550 18.660 0.033 4.05 389.0
2455294.75080 18.668 0.033 4.57 348.0
2455295.75179 18.647 0.034 4.86 331.0
2455296.79604 18.670 0.027 3.69 325.0
2455297.82719 18.654 0.025 3.18 328.0
2455298.86593 18.581 0.027 3.99 355.0
2455299.85002 18.592 0.020 3.90 263.0
2455301.77911 18.679 0.035 4.81 369.0
2455304.73950 18.570 0.043 6.62 489.0
2455306.71223 18.598 0.035 5.87 397.0
2455307.73800 18.631 0.037 5.69 399.0
2455308.73047 18.632 0.043 6.10 399.0
2455309.79686 18.642 0.035 5.63 360.0
2455310.77905 18.656 0.037 5.67 391.0
2455311.87904 18.655 0.038 5.21 406.0
2455312.87368 18.655 0.042 5.33 536.0
2455313.90212 18.708 0.050 5.21 677.0
2455314.85022 18.700 0.051 5.48 796.0
2455315.77596 18.608 0.044 4.62 814.0
2455316.72879 18.767 0.061 5.21 865.0
2455319.86915 18.510 0.087 4.28 4527.0
2455320.76965 18.722 0.066 5.13 1372.0
2455321.71677 18.649 0.039 5.17 504.0
2455321.91095 18.676 0.040 4.53 557.0
2455322.88241 18.593 0.039 4.72 605.0
2455323.82797 18.717 0.038 5.16 500.0
2455324.75883 18.689 0.039 5.20 404.0
2455325.65338 18.689 0.036 4.54 452.0
2455325.87551 18.681 0.033 3.76 423.0
2455326.80013 18.678 0.032 4.35 360.0
2455327.74847 18.690 0.034 4.38 337.0
2455328.61216 18.604 0.037 4.95 524.0
2455328.87192 18.652 0.036 4.15 442.0
2455334.77955 18.617 0.027 3.63 366.0
2455335.76346 18.672 0.029 3.86 370.0
2455336.80854 18.729 0.043 5.34 435.0
2455337.86281 18.692 0.047 5.54 537.0
2455338.88156 18.721 0.059 6.54 570.0
2455339.89683 18.696 0.066 6.88 714.0
2455340.83823 18.697 0.055 6.14 598.0
2455341.73319 18.645 0.036 4.32 538.0
2455342.59807 18.672 0.063 6.06 872.0
2455342.79325 18.532 0.043 5.39 668.0
2455343.61778 18.607 0.056 5.50 1036.0
2455343.81013 18.593 0.046 4.93 863.0
2455348.73047 18.630 0.046 5.96 506.0
2455349.59345 18.720 0.056 6.72 511.0
2455350.64670 18.624 0.045 6.51 402.0
2455351.72147 18.712 0.036 4.58 400.0
2455352.73767 18.697 0.035 4.43 391.0
2455353.70486 18.687 0.031 3.95 344.0
2455354.65038 18.636 0.037 5.57 362.0
2455355.59146 18.671 0.035 4.36 481.0
2455355.90195 18.516 0.043 6.08 552.0
2455358.73699 18.614 0.036 5.38 374.0
2455359.62527 18.637 0.043 5.55 488.0
2455359.86161 18.588 0.044 5.50 567.0
2455362.76868 18.621 0.034 4.73 415.0
2455364.74097 18.543 0.038 6.05 383.0
2455364.87464 18.630 0.040 5.97 382.0
2455365.83328 18.598 0.040 5.64 434.0
2455369.78966 18.647 0.056 5.38 895.0
2455376.76457 18.599 0.047 5.42 613.0
2455377.68659 18.701 0.038 4.80 423.0
2455378.51340 18.678 0.039 5.02 434.0
2455378.81663 18.712 0.039 5.27 477.0
2455379.72060 18.576 0.033 4.64 376.0
2455380.81521 18.724 0.053 6.38 436.0
2455381.69029 18.611 0.037 5.49 378.0
2455382.55394 18.636 0.052 7.37 396.0
2455382.76069 18.647 0.047 6.79 409.0
2455385.51292 18.648 0.036 4.70 488.0
2455386.48657 18.683 0.038 4.46 693.0
2455386.56878 18.611 0.032 4.86 535.0
2455386.65242 18.687 0.034 5.18 435.0
2455386.78475 18.646 0.030 3.86 325.0
2455387.76960 18.611 0.031 4.68 308.0
2455388.68071 18.600 0.030 4.79 247.0
2455389.54767 18.618 0.033 5.24 311.0
2455390.55517 18.607 0.041 6.30 345.0
2455390.81219 18.639 0.034 5.62 275.0
2455391.79807 18.720 0.042 4.98 446.0
2455392.66770 18.591 0.033 5.40 322.0
2455393.70652 18.553 0.039 6.65 281.0
2455396.60242 18.712 0.042 5.42 405.0
2455397.66592 18.637 0.047 6.81 390.0
2455402.67584 18.634 0.056 5.47 889.0
2455403.63811 18.665 0.038 3.92 716.0
2455404.50962 18.670 0.042 4.67 544.0
2455404.70679 18.654 0.045 5.04 572.0
2455405.72245 18.635 0.043 5.24 480.0
2455407.57576 18.609 0.046 6.98 325.0
2455407.76947 18.657 0.050 6.18 477.0
2455408.69890 18.641 0.041 5.84 387.0
2455409.63184 18.675 0.028 4.36 267.0
2455410.63539 18.599 0.034 5.53 295.0
2455411.67205 18.675 0.027 3.74 298.0
2455412.63271 18.619 0.039 5.68 374.0
2455413.66345 18.643 0.026 3.97 258.0
2455414.71077 18.631 0.028 3.55 321.0
2455418.60094 18.575 0.027 4.27 276.0
2455421.62810 18.598 0.032 5.54 289.0
2455422.67379 18.606 0.029 4.63 271.0
2455425.53784 18.675 0.036 5.00 386.0
2455430.53278 18.603 0.051 6.02 676.0
2455431.53354 18.703 0.043 5.52 527.0
2455434.49636 18.673 0.049 6.46 444.0
2455434.70884 18.726 0.049 5.26 651.0
2455435.71340 18.680 0.042 4.82 559.0
2455438.50220 18.609 0.052 7.09 435.0
2455439.57178 18.670 0.041 5.10 383.0
2455443.58581 18.633 0.037 5.46 385.0
2455444.61118 18.624 0.040 5.86 367.0
2455446.48763 18.636 0.041 5.72 396.0
2455447.50586 18.651 0.028 3.74 354.0
2455448.57859 18.656 0.041 5.90 360.0
2455450.52194 18.644 0.042 6.00 367.0
2455451.65088 18.621 0.043 5.16 429.0
2455457.54569 18.648 0.030 4.06 466.0
2455458.57684 18.575 0.038 4.94 560.0
2455459.60811 18.609 0.036 4.54 610.0
